date,yes,no
2000-02-25,1,2
2000-03-25,3,4
2000-04-25,2,4
2000-05-25,4,5
2000-06-25,8,5
2000-07-25,7,4
2000-08-25,6,3
2000-09-25,6,6
2000-10-25,4,6
2000-11-25,3,2
2000-12-25,8,3
2001-01-25,6,5
2001-02-25,4,4
2001-03-25,5,2
2001-04-25,2,1
2001-05-25,4,6
2001-06-25,6,8
2001-07-25,5,7
2001-08-25,3,2
2001-09-25,4,3
2001-10-25,5,6
2001-11-25,7,1
2001-12-25,1,3
2002-01-25,4,1
2002-02-25,2,6
2002-03-25,5,4
2002-04-25,3,6
2002-05-25,6,3
2002-06-25,6,5
2002-07-25,5,5
2002-08-25,4,4
2002-09-25,4,3
2002-10-25,2,1
2002-11-25,10,0
2002-12-25,9,3
